Indice  Estatus    Matricula  Apellido paterno     Apellido materno     Nombre               Edad  Genero    
501     ACTIVO     316103     RUIZ                 DE LA FUENTE         VALENTINA            36    MUJER     
502     ACTIVO     307646     JUAREZ               DE LA FUENTE         BIANCA               22    MUJER     
503     ACTIVO     312020     ANDRADE              CASTRO               REBECA               32    MUJER     
504     ACTIVO     311482     MARTINEZ             CONTRERAS            GINA                 29    MUJER     
505     ACTIVO     321408     CASTILLO             CONTRERAS            FRANCISCO            50    HOMBRE    
506     ACTIVO     307353     CASTILLO             ROJAS                JOHAN                37    HOMBRE    
507     ACTIVO     330680     BENITEZ              DIAZ                 LEONARDO             43    HOMBRE    
508     ACTIVO     310994     GARCIA               HERNANDEZ            ADAM                 69    HOMBRE    
509     ACTIVO     311774     ANDRADE              PINEDA               BIANCA               19    MUJER     
510     ACTIVO     310069     CASTILLO             COTA                 ALEJANDRA            19    MUJER     
511     ACTIVO     313246     HERNANDEZ            CONTRERAS            ADONIS               70    HOMBRE    
512     ACTIVO     329061     SANCHEZ              DIAZ                 LUCAS                21    HOMBRE    
513     ACTIVO     326674     SILVA                PEREZ                VALERIA              61    MUJER     
514     ACTIVO     328344     JUAREZ               ANDRADE              AMANDA               47    MUJER     
515     ACTIVO     312345     CONTRERAS            QUISPE               CAMILA               23    MUJER     
516     ACTIVO     329614     JUAREZ               LOPEZ                BRUNA                35    MUJER     
517     ACTIVO     325876     DEL TORO             MORA                 BIANCA               45    MUJER     
518     ACTIVO     324303     JUAREZ               DUARTE               AURA                 36    MUJER     
519     ACTIVO     310561     DIAZ                 ANDRADE              GINEBRA              44    MUJER     
520     ACTIVO     324392     QUISPE               ESPINOZA             BIANCA               27    MUJER     
521     ACTIVO     316283     RUIZ                 DEL TORO             MAGDALENA            33    MUJER     
522     ACTIVO     308839     ROJAS                SILVA                DAFNE                41    MUJER     
523     ACTIVO     316562     ESPINOZA             VERA                 ISAAC                51    HOMBRE    
524     ACTIVO     332619     ALVAREZ              DEL TORO             FELIX                62    HOMBRE    
525     ACTIVO     329209     VERA                 CONTRERAS            MANUEL               36    HOMBRE    
526     ACTIVO     300594     MARTINEZ             DIAZ                 MANUEL               41    HOMBRE    
527     ACTIVO     305473     MARTINEZ             ESPINOZA             ALEXA                26    MUJER     
528     ACTIVO     321511     BENITEZ              FERNANDEZ            ALVARO               69    HOMBRE    
529     ACTIVO     305222     ROJAS                CASTILLO             ALEJANDRA            27    MUJER     
530     ACTIVO     319973     MARTINEZ             VERA                 BRUNA                49    MUJER     
531     ACTIVO     323445     GARCIA               ESPINOZA             CAMILA               41    MUJER     
532     ACTIVO     308582     MORA                 VERA                 CAMILA               46    MUJER     
533     ACTIVO     316787     SANCHEZ              FLORES               AXEL                 44    HOMBRE    
534     ACTIVO     308904     JUAREZ               FERNANDEZ            ISAAC                18    HOMBRE    
535     ACTIVO     304782     MEJIA                CONTRERAS            MIA                  53    MUJER     
536     ACTIVO     328577     HERNANDEZ            SANCHEZ              REBECA               34    MUJER     
537     ACTIVO     330082     MORA                 VERA                 SOFIA                17    MUJER     
538     ACTIVO     315680     SANCHEZ              DE LA FUENTE         ERICK                27    HOMBRE    
539     ACTIVO     305354     ESPINOZA             RUIZ                 OLIVER               20    HOMBRE    
540     ACTIVO     322853     SANCHEZ              LOPEZ                MARTINA              20    MUJER     
541     ACTIVO     315145     MARTINEZ             CASTRO               AXEL                 64    HOMBRE    
542     ACTIVO     310756     ANDRADE              FERNANDEZ            ALEXA                37    MUJER     
543     ACTIVO     319032     ALVAREZ              JUAREZ               REBECA               39    MUJER     
544     ACTIVO     314869     ANDRADE              GARCIA               MANUEL               68    HOMBRE    
545     ACTIVO     315890     LOPEZ                ROJAS                ALBERTO              69    HOMBRE    
546     ACTIVO     306943     PINEDA               PINEDA               JULIETA              50    MUJER     
547     ACTIVO     308798     JUAREZ               DUARTE               CAMILA               36    MUJER     
548     ACTIVO     311237     PEREZ                PEREZ                ALVARO               27    HOMBRE    
549     ACTIVO     311228     SANCHEZ              ANDRADE              DANIEL               33    HOMBRE    
550     ACTIVO     303473     MARTINEZ             DE LA FUENTE         VALENTINA            41    MUJER     
551     ACTIVO     323859     PINEDA               VERA                 GAEL                 31    HOMBRE    
552     ACTIVO     321567     RODRIGUEZ            MEJIA                REBECA               49    MUJER     
553     ACTIVO     326042     CASTILLO             DUARTE               IVAN                 65    HOMBRE    
554     ACTIVO     316076     FERNANDEZ            CONTRERAS            JULIETA              48    MUJER     
555     ACTIVO     309572     COTA                 QUISPE               BIANCA               24    MUJER     
556     ACTIVO     300480     MEJIA                DE LA FUENTE         MONSERRAT            40    MUJER     
557     ACTIVO     300497     ROJAS                ANDRADE              AXEL                 45    HOMBRE    
558     ACTIVO     329241     DEL TORO             ROJAS                MONSERRAT            67    MUJER     
559     ACTIVO     331058     CASTRO               CASTRO               ALEXIA               53    MUJER     
560     ACTIVO     306713     DEL TORO             FLORES               AURA                 67    MUJER     
561     ACTIVO     307515     CONTRERAS            PINEDA               ALBERTO              51    HOMBRE    
562     ACTIVO     301714     BENITEZ              DE LA FUENTE         FERNANDA             30    MUJER     
563     ACTIVO     325776     FLORES               BENITEZ              FRIDA                39    MUJER     
564     ACTIVO     322256     SILVA                FERNANDEZ            JAVIER               31    HOMBRE    
565     ACTIVO     331977     DE LA FUENTE         DEL TORO             ADRIAN               47    HOMBRE    
566     ACTIVO     323560     QUISPE               PEREZ                AXEL                 35    HOMBRE    
567     ACTIVO     302567     PEREZ                RUIZ                 PABLO                56    HOMBRE    
568     ACTIVO     321343     MORA                 SANCHEZ              ALVARO               35    HOMBRE    
569     ACTIVO     332539     DUARTE               CASTILLO             BIANCA               46    MUJER     
570     ACTIVO     302172     MORA                 ANDRADE              ALVARO               52    HOMBRE    
571     ACTIVO     331795     MORA                 SILVA                ABRIL                57    MUJER     
572     ACTIVO     327154     SANCHEZ              BENITEZ              GAEL                 27    HOMBRE    
573     ACTIVO     323944     COTA                 MEJIA                LUCAS                23    HOMBRE    
574     ACTIVO     324136     FLORES               MORA                 ALEXIA               53    MUJER     
575     ACTIVO     326597     JUAREZ               COTA                 BIANCA               21    MUJER     
576     ACTIVO     325163     CASTILLO             LOPEZ                BRUNO                61    HOMBRE    
577     ACTIVO     315962     ESPINOZA             DE LA FUENTE         OLIVER               22    HOMBRE    
578     ACTIVO     316662     JUAREZ               DUARTE               ALICIA               40    MUJER     
579     ACTIVO     303362     RUIZ                 ANDRADE              VALERIA              55    MUJER     
580     ACTIVO     328031     BENITEZ              ROJAS                ALICIA               29    MUJER     
581     ACTIVO     305584     PINEDA               GARCIA               ISAAC                70    HOMBRE    
582     ACTIVO     319333     ALVAREZ              RUIZ                 FERNANDA             38    MUJER     
583     ACTIVO     302240     HERNANDEZ            PINEDA               ALICIA               55    MUJER     
584     ACTIVO     329913     RUIZ                 LOPEZ                ADONIS               31    HOMBRE    
585     ACTIVO     322461     RODRIGUEZ            DE LA FUENTE         MARCO                41    HOMBRE    
586     ACTIVO     317578     PEREZ                CASTILLO             HUGO                 24    HOMBRE    
587     ACTIVO     328142     CASTILLO             RUIZ                 ADONIS               66    HOMBRE    
588     ACTIVO     314004     MEJIA                DUARTE               ABRIL                20    MUJER     
589     ACTIVO     330982     PINEDA               SILVA                HUGO                 66    HOMBRE    
590     ACTIVO     325994     DE LA FUENTE         PINEDA               GINEBRA              70    MUJER     
591     ACTIVO     312203     GARCIA               GARCIA               TERESA               69    MUJER     
592     ACTIVO     313347     PEREZ                LOPEZ                LEONARDO             17    HOMBRE    
593     ACTIVO     316678     SILVA                FLORES               JESUS                20    HOMBRE    
594     ACTIVO     328323     QUISPE               BENITEZ              JAVIER               18    HOMBRE    
595     ACTIVO     323116     VERA                 CASTRO               JAVIER               47    HOMBRE    
596     ACTIVO     328266     FLORES               MORA                 VALENTINA            62    MUJER     
597     ACTIVO     327563     ROJAS                MORA                 FELIX                25    HOMBRE    
598     ACTIVO     303426     DUARTE               PINEDA               LUCAS                55    HOMBRE    
599     ACTIVO     307416     FERNANDEZ            MORA                 DANIEL               68    HOMBRE    
600     ACTIVO     329828     MARTINEZ             CONTRERAS            SOFIA                27    MUJER     
601     ACTIVO     306584     SILVA                DIAZ                 TERESA               30    MUJER     
602     ACTIVO     304524     MORA                 FLORES               ABRIL                47    MUJER     
603     ACTIVO     309006     QUISPE               MORA                 ABRIL                37    MUJER     
604     ACTIVO     316542     FLORES               SILVA                FRIDA                50    MUJER     
605     ACTIVO     304996     CONTRERAS            JUAREZ               MARTINA              23    MUJER     
606     ACTIVO     329527     JUAREZ               QUISPE               AMANDA               68    MUJER     
607     ACTIVO     315931     RUIZ                 BENITEZ              HUGO                 38    HOMBRE    
608     ACTIVO     326008     FLORES               MEJIA                BRUNA                46    MUJER     
609     ACTIVO     322999     QUISPE               FERNANDEZ            BRUNO                66    HOMBRE    
610     ACTIVO     310160     FLORES               ALVAREZ              MARCO                31    HOMBRE    
611     ACTIVO     324262     PINEDA               JUAREZ               GAEL                 63    HOMBRE    
612     ACTIVO     303209     MARTINEZ             HERNANDEZ            LEONARDO             21    HOMBRE    
613     ACTIVO     301938     GARCIA               DIAZ                 PAOLA                61    MUJER     
614     ACTIVO     318165     ESPINOZA             MEJIA                BRUNA                45    MUJER     
615     ACTIVO     324135     PEREZ                LOPEZ                DAFNE                62    MUJER     
616     ACTIVO     316954     CASTILLO             COTA                 GINA                 29    MUJER     
617     ACTIVO     300805     MARTINEZ             MEJIA                FELIX                67    HOMBRE    
618     ACTIVO     300475     ESPINOZA             HERNANDEZ            ADRIAN               36    HOMBRE    
619     ACTIVO     306281     CASTILLO             FLORES               ALDO                 55    HOMBRE    
620     ACTIVO     305287     HERNANDEZ            RUIZ                 MIA                  33    MUJER     
621     ACTIVO     300024     DUARTE               ESPINOZA             BIANCA               39    MUJER     
622     ACTIVO     326375     MORA                 GARCIA               DYLAN                54    HOMBRE    
623     ACTIVO     321806     PEREZ                MEJIA                DANIEL               28    HOMBRE    
624     ACTIVO     300132     CASTRO               LOPEZ                PABLO                66    HOMBRE    
625     ACTIVO     320614     ROJAS                ESPINOZA             ABRIL                20    MUJER     
626     ACTIVO     330870     FERNANDEZ            RUIZ                 SOFIA                46    MUJER     
627     ACTIVO     300297     QUISPE               CONTRERAS            ALEXIA               38    MUJER     
628     ACTIVO     311956     SILVA                FERNANDEZ            IVAN                 19    HOMBRE    
629     ACTIVO     301691     GARCIA               ROJAS                GINEBRA              46    MUJER     
630     ACTIVO     304504     QUISPE               HERNANDEZ            JOHAN                21    HOMBRE    
631     ACTIVO     314404     LOPEZ                DEL TORO             ADAM                 22    HOMBRE    
632     ACTIVO     300465     BENITEZ              CONTRERAS            JESUS                62    HOMBRE    
633     ACTIVO     326139     CASTRO               FERNANDEZ            MARIA                44    MUJER     
634     ACTIVO     307054     ANDRADE              PEREZ                ALVARO               49    HOMBRE    
635     ACTIVO     307833     CASTILLO             JUAREZ               BIANCA               61    MUJER     
636     ACTIVO     329609     QUISPE               PEREZ                ALICIA               60    MUJER     
637     ACTIVO     309693     DE LA FUENTE         DIAZ                 ISAAC                60    HOMBRE    
638     ACTIVO     305106     DIAZ                 VERA                 FRIDA                40    MUJER     
639     ACTIVO     302587     MEJIA                FLORES               ALEJANDRO            59    HOMBRE    
640     ACTIVO     317085     CONTRERAS            JUAREZ               MANUEL               22    HOMBRE    
641     ACTIVO     300329     COTA                 BENITEZ              DAFNE                52    MUJER     
642     ACTIVO     325005     CASTILLO             CASTRO               JAVIER               30    HOMBRE    
643     ACTIVO     331756     DUARTE               FLORES               ESMERALDA            58    MUJER     
644     ACTIVO     328610     LOPEZ                MORA                 ALEXIA               29    MUJER     
645     ACTIVO     306624     RODRIGUEZ            COTA                 FRANCISCO            17    HOMBRE    
646     ACTIVO     314327     QUISPE               PEREZ                FERNANDA             67    MUJER     
647     ACTIVO     312871     ALVAREZ              PINEDA               MARIA                69    MUJER     
648     ACTIVO     319024     GARCIA               CASTRO               HUGO                 41    HOMBRE    
649     ACTIVO     321280     CASTRO               HERNANDEZ            MAGDALENA            18    MUJER     
650     ACTIVO     301188     DIAZ                 DIAZ                 MARTINA              34    MUJER     
651     ACTIVO     302330     DEL TORO             RODRIGUEZ            OLIVER               34    HOMBRE    
652     ACTIVO     320647     PINEDA               CASTRO               AXEL                 29    HOMBRE    
653     ACTIVO     331713     DE LA FUENTE         ANDRADE              JOHAN                38    HOMBRE    
654     ACTIVO     314795     JUAREZ               CASTRO               MARIA                51    MUJER     
655     ACTIVO     323348     DE LA FUENTE         SILVA                PAOLA                33    MUJER     
656     ACTIVO     310357     VERA                 SANCHEZ              LEONARDO             27    HOMBRE    
657     ACTIVO     315920     ANDRADE              VERA                 ADAM                 51    HOMBRE    
658     ACTIVO     314526     SANCHEZ              BENITEZ              OLIVIA               41    MUJER     
659     ACTIVO     328639     SILVA                ESPINOZA             GERMAN               56    HOMBRE    
660     ACTIVO     329009     SANCHEZ              GARCIA               GINA                 59    MUJER     
661     ACTIVO     301101     COTA                 HERNANDEZ            FERNANDA             70    MUJER     
662     ACTIVO     306430     DIAZ                 QUISPE               ALICIA               21    MUJER     
663     ACTIVO     328501     MARTINEZ             FERNANDEZ            BRUNO                43    HOMBRE    
664     ACTIVO     316959     PEREZ                SILVA                BIANCA               67    MUJER     
665     ACTIVO     316045     PEREZ                SILVA                BRUNO                65    HOMBRE    
666     ACTIVO     313866     DUARTE               DEL TORO             ABRIL                33    MUJER     
667     ACTIVO     317204     DEL TORO             DE LA FUENTE         GERMAN               29    HOMBRE    
668     ACTIVO     312056     HERNANDEZ            RUIZ                 ADONIS               32    HOMBRE    
669     ACTIVO     313690     ANDRADE              DE LA FUENTE         BIANCA               55    MUJER     
670     ACTIVO     302740     COTA                 DUARTE               MONSERRAT            65    MUJER     
671     ACTIVO     308592     CONTRERAS            ROJAS                JAVIER               70    HOMBRE    
672     ACTIVO     325095     DE LA FUENTE         DUARTE               ALEXIA               26    MUJER     
673     ACTIVO     309745     MARTINEZ             DEL TORO             FRANCISCO            42    HOMBRE    
674     ACTIVO     312963     HERNANDEZ            MORA                 MANUEL               39    HOMBRE    
675     ACTIVO     321104     MARTINEZ             ALVAREZ              MARCO                22    HOMBRE    
676     ACTIVO     301294     CONTRERAS            QUISPE               JESUS                52    HOMBRE    
677     ACTIVO     312419     MARTINEZ             VERA                 MANUEL               69    HOMBRE    
678     ACTIVO     315473     QUISPE               LOPEZ                ALEJANDRO            48    HOMBRE    
679     ACTIVO     312908     QUISPE               ALVAREZ              YAEL                 43    HOMBRE    
680     ACTIVO     330872     GARCIA               SILVA                DAFNE                60    MUJER     
681     ACTIVO     304147     SILVA                VERA                 ALBERTO              32    HOMBRE    
682     ACTIVO     318434     ANDRADE              DE LA FUENTE         PABLO                21    HOMBRE    
683     ACTIVO     327970     COTA                 BENITEZ              ALEXA                18    MUJER     
684     ACTIVO     308161     ANDRADE              COTA                 ALICIA               54    MUJER     
685     ACTIVO     305432     HERNANDEZ            DE LA FUENTE         VALENTINA            40    MUJER     
686     ACTIVO     328088     ROJAS                ROJAS                YAEL                 60    HOMBRE    
687     ACTIVO     323573     MEJIA                COTA                 ABRIL                70    MUJER     
688     ACTIVO     307373     CASTILLO             FLORES               SOFIA                57    MUJER     
689     ACTIVO     313082     GARCIA               PINEDA               ALDO                 39    HOMBRE    
690     ACTIVO     307343     QUISPE               ESPINOZA             ALDO                 32    HOMBRE    
691     ACTIVO     316351     RODRIGUEZ            MEJIA                DAFNE                54    MUJER     
692     ACTIVO     320459     CASTILLO             ANDRADE              AMANDA               59    MUJER     
693     ACTIVO     320916     CONTRERAS            ALVAREZ              DANIEL               33    HOMBRE    
694     ACTIVO     324330     FERNANDEZ            PINEDA               BIANCA               20    MUJER     
695     ACTIVO     320796     MARTINEZ             SILVA                IVAN                 28    HOMBRE    
696     ACTIVO     311213     SANCHEZ              CONTRERAS            ESMERALDA            29    MUJER     
697     ACTIVO     301608     MEJIA                ROJAS                GINEBRA              66    MUJER     
698     ACTIVO     324747     COTA                 MORA                 ALBERTO              53    HOMBRE    
699     ACTIVO     320465     ANDRADE              FERNANDEZ            SOFIA                57    MUJER     
700     ACTIVO     322667     MEJIA                PEREZ                BIANCA               65    MUJER     
701     ACTIVO     311000     SILVA                DUARTE               BIANCA               45    MUJER     
702     ACTIVO     323230     LOPEZ                RODRIGUEZ            MONSERRAT            43    MUJER     
703     ACTIVO     308801     CASTRO               DIAZ                 AXEL                 60    HOMBRE    
704     ACTIVO     326431     SILVA                DIAZ                 FRIDA                54    MUJER     
705     ACTIVO     301613     MARTINEZ             ALVAREZ              ABRIL                58    MUJER     
706     ACTIVO     303885     FLORES               GARCIA               LEONARDO             20    HOMBRE    
707     ACTIVO     301304     HERNANDEZ            QUISPE               PAOLA                38    MUJER     
708     ACTIVO     305512     VERA                 QUISPE               ALDO                 66    HOMBRE    
709     ACTIVO     300691     ROJAS                GARCIA               BRUNO                53    HOMBRE    
710     ACTIVO     321547     DEL TORO             QUISPE               MIA                  66    MUJER     
711     ACTIVO     319010     QUISPE               VERA                 ABRIL                32    MUJER     
712     ACTIVO     308457     MORA                 ROJAS                AURA                 41    MUJER     
713     ACTIVO     330201     DE LA FUENTE         DIAZ                 ALDO                 51    HOMBRE    
714     ACTIVO     319180     RUIZ                 VERA                 ADAM                 54    HOMBRE    
715     ACTIVO     306990     FERNANDEZ            MARTINEZ             MONSERRAT            54    MUJER     
716     ACTIVO     326416     CASTRO               FERNANDEZ            ALEJANDRO            65    HOMBRE    
717     ACTIVO     310510     DEL TORO             QUISPE               ELENA                40    MUJER     
718     ACTIVO     313460     FERNANDEZ            LOPEZ                YAEL                 21    HOMBRE    
719     ACTIVO     312740     CASTILLO             BENITEZ              BRUNO                49    HOMBRE    
720     ACTIVO     328161     COTA                 CONTRERAS            ADAM                 59    HOMBRE    
721     ACTIVO     303030     GARCIA               JUAREZ               MONSERRAT            28    MUJER     
722     ACTIVO     309557     VERA                 PEREZ                CAMILA               20    MUJER     
723     ACTIVO     332348     ROJAS                PEREZ                MIA                  57    MUJER     
724     ACTIVO     315148     ANDRADE              ROJAS                JOHAN                52    HOMBRE    
725     ACTIVO     301291     ESPINOZA             VERA                 ADRIAN               33    HOMBRE    
726     ACTIVO     327118     FLORES               FLORES               YAEL                 70    HOMBRE    
727     ACTIVO     325951     ESPINOZA             ALVAREZ              ELENA                50    MUJER     
728     ACTIVO     312312     CASTRO               MARTINEZ             HUGO                 66    HOMBRE    
729     ACTIVO     300268     CASTRO               BENITEZ              ESMERALDA            67    MUJER     
730     ACTIVO     309679     ROJAS                JUAREZ               JAVIER               55    HOMBRE    
731     ACTIVO     304517     HERNANDEZ            DEL TORO             LUCAS                57    HOMBRE    
732     ACTIVO     302465     ROJAS                CONTRERAS            JESUS                21    HOMBRE    
733     ACTIVO     314733     PINEDA               COTA                 VALERIA              64    MUJER     
734     ACTIVO     304253     CASTRO               PINEDA               ALBERTO              30    HOMBRE    
735     ACTIVO     305662     CASTILLO             FERNANDEZ            ERICK                60    HOMBRE    
736     ACTIVO     317814     LOPEZ                CASTILLO             AXEL                 66    HOMBRE    
737     ACTIVO     316152     MORA                 ROJAS                MONSERRAT            55    MUJER     
738     ACTIVO     300947     CONTRERAS            FERNANDEZ            MANUEL               58    HOMBRE    
739     ACTIVO     324395     ANDRADE              CASTILLO             MARCO                62    HOMBRE    
740     ACTIVO     322587     DEL TORO             SILVA                DAFNE                48    MUJER     
741     ACTIVO     321128     COTA                 ANDRADE              YAEL                 24    HOMBRE    
742     ACTIVO     322430     GARCIA               DUARTE               FRIDA                55    MUJER     
743     ACTIVO     329892     ANDRADE              JUAREZ               MARTINA              57    MUJER     
744     ACTIVO     312742     CASTILLO             LOPEZ                TERESA               22    MUJER     
745     ACTIVO     303725     ROJAS                ANDRADE              VALENTINA            67    MUJER     
746     ACTIVO     304510     MARTINEZ             DEL TORO             LEONARDO             69    HOMBRE    
747     ACTIVO     302738     FERNANDEZ            ESPINOZA             PABLO                17    HOMBRE    
748     ACTIVO     305091     MARTINEZ             ANDRADE              VALERIA              21    MUJER     
749     ACTIVO     324877     MORA                 GARCIA               SOFIA                34    MUJER     
750     ACTIVO     324874     HERNANDEZ            DE LA FUENTE         ABRIL                24    MUJER     
751     ACTIVO     325428     PEREZ                FLORES               LEONARDO             60    HOMBRE    
752     ACTIVO     314130     LOPEZ                DUARTE               ALEXA                66    MUJER     
753     ACTIVO     321823     PEREZ                SANCHEZ              FRANCISCO            67    HOMBRE    
754     ACTIVO     328011     FERNANDEZ            DEL TORO             FRIDA                24    MUJER     
755     ACTIVO     300124     CASTILLO             JUAREZ               ESMERALDA            25    MUJER     
756     ACTIVO     316582     ANDRADE              ALVAREZ              ALEXA                68    MUJER     
757     ACTIVO     311249     GARCIA               VERA                 TERESA               62    MUJER     
758     ACTIVO     329374     SILVA                JUAREZ               HUGO                 69    HOMBRE    
759     ACTIVO     309488     HERNANDEZ            PEREZ                ADONIS               23    HOMBRE    
760     ACTIVO     301958     MEJIA                MARTINEZ             JESUS                27    HOMBRE    
761     ACTIVO     317985     MORA                 ANDRADE              ALEXIA               19    MUJER     
762     ACTIVO     312340     QUISPE               PINEDA               MONSERRAT            39    MUJER     
763     ACTIVO     309868     QUISPE               JUAREZ               LUCAS                23    HOMBRE    
764     ACTIVO     310830     BENITEZ              FERNANDEZ            ALDO                 67    HOMBRE    
765     ACTIVO     322802     JUAREZ               COTA                 ADONIS               43    HOMBRE    
766     ACTIVO     317542     GARCIA               FLORES               ERICK                20    HOMBRE    
767     ACTIVO     319864     CASTRO               CASTILLO             BRUNA                44    MUJER     
768     ACTIVO     329794     RUIZ                 DE LA FUENTE         BRUNO                44    HOMBRE    
769     ACTIVO     319790     COTA                 MORA                 MARCO                34    HOMBRE    
770     ACTIVO     325295     FLORES               CASTRO               ALEXA                20    MUJER     
771     ACTIVO     321012     FLORES               MARTINEZ             JESUS                21    HOMBRE    
772     ACTIVO     308494     ALVAREZ              CASTRO               OLIVER               38    HOMBRE    
773     ACTIVO     303476     SILVA                CASTILLO             FELIX                53    HOMBRE    
774     ACTIVO     302078     DE LA FUENTE         CASTILLO             AURA                 27    MUJER     
775     ACTIVO     320411     JUAREZ               DUARTE               ALEJANDRO            17    HOMBRE    
776     ACTIVO     311928     DIAZ                 RODRIGUEZ            ALEXA                29    MUJER     
777     ACTIVO     321877     VERA                 PEREZ                TERESA               57    MUJER     
778     ACTIVO     316205     HERNANDEZ            HERNANDEZ            ESMERALDA            22    MUJER     
779     ACTIVO     331660     HERNANDEZ            SANCHEZ              LUCAS                41    HOMBRE    
780     ACTIVO     318495     DIAZ                 PINEDA               ELENA                17    MUJER     
781     ACTIVO     304738     RODRIGUEZ            CASTRO               AXEL                 65    HOMBRE    
782     ACTIVO     324733     BENITEZ              GARCIA               GERMAN               37    HOMBRE    
783     ACTIVO     319660     CASTILLO             CONTRERAS            IVAN                 36    HOMBRE    
784     ACTIVO     316612     DE LA FUENTE         LOPEZ                OLIVER               44    HOMBRE    
785     ACTIVO     302002     ANDRADE              DIAZ                 AXEL                 67    HOMBRE    
786     ACTIVO     310546     MEJIA                BENITEZ              CAMILA               46    MUJER     
787     ACTIVO     326437     CONTRERAS            RODRIGUEZ            ALEXIA               44    MUJER     
788     ACTIVO     312781     CASTILLO             JUAREZ               DYLAN                20    HOMBRE    
789     ACTIVO     300385     ESPINOZA             RODRIGUEZ            MONSERRAT            31    MUJER     
790     ACTIVO     325236     SILVA                ALVAREZ              BRUNA                57    MUJER     
791     ACTIVO     332477     ALVAREZ              ANDRADE              IVAN                 57    HOMBRE    
792     ACTIVO     318649     DUARTE               BENITEZ              GINA                 47    MUJER     
793     ACTIVO     330652     LOPEZ                DUARTE               LEONARDO             30    HOMBRE    
794     ACTIVO     320631     JUAREZ               LOPEZ                MIA                  26    MUJER     
795     ACTIVO     331381     FERNANDEZ            PEREZ                DAFNE                22    MUJER     
796     ACTIVO     323889     SANCHEZ              ANDRADE              ISAAC                31    HOMBRE    
797     ACTIVO     315455     SILVA                LOPEZ                GINEBRA              68    MUJER     
798     ACTIVO     314018     PINEDA               DIAZ                 ALEXIA               53    MUJER     
799     ACTIVO     311344     MEJIA                FLORES               VALENTINA            25    MUJER     
800     ACTIVO     325636     ALVAREZ              DE LA FUENTE         DYLAN                26    HOMBRE    
801     ACTIVO     330385     VERA                 ROJAS                MIA                  31    MUJER     
802     ACTIVO     317181     SANCHEZ              HERNANDEZ            ELENA                24    MUJER     
803     ACTIVO     327363     ROJAS                GARCIA               REBECA               68    MUJER     
804     ACTIVO     316367     DE LA FUENTE         SILVA                ALEJANDRA            70    MUJER     
805     ACTIVO     304274     DEL TORO             FERNANDEZ            GINEBRA              44    MUJER     
806     ACTIVO     306880     SANCHEZ              DE LA FUENTE         MIA                  48    MUJER     
807     ACTIVO     330936     CONTRERAS            LOPEZ                JOHAN                55    HOMBRE    
808     ACTIVO     326342     LOPEZ                VERA                 JESUS                41    HOMBRE    
809     ACTIVO     305332     CASTILLO             ESPINOZA             DAFNE                55    MUJER     
810     ACTIVO     311670     QUISPE               DE LA FUENTE         CAMILA               61    MUJER     
811     ACTIVO     308685     MARTINEZ             RUIZ                 SOFIA                24    MUJER     
812     ACTIVO     325678     SANCHEZ              FLORES               ALICIA               37    MUJER     
813     ACTIVO     329568     RUIZ                 PEREZ                DYLAN                41    HOMBRE    
814     ACTIVO     307841     FLORES               RUIZ                 FRANCISCO            59    HOMBRE    
815     ACTIVO     310385     BENITEZ              ROJAS                ISAAC                61    HOMBRE    
816     ACTIVO     310754     DIAZ                 BENITEZ              JOHAN                25    HOMBRE    
817     ACTIVO     306289     PINEDA               MORA                 ISAAC                46    HOMBRE    
818     ACTIVO     332436     FERNANDEZ            ALVAREZ              DAFNE                34    MUJER     
819     ACTIVO     300876     BENITEZ              VERA                 PABLO                61    HOMBRE    
820     ACTIVO     312785     DIAZ                 SILVA                ADONIS               26    HOMBRE    
821     ACTIVO     320694     DUARTE               COTA                 HUGO                 40    HOMBRE    
822     ACTIVO     321848     CASTRO               ANDRADE              BRUNA                38    MUJER     
823     ACTIVO     327349     SILVA                SANCHEZ              ADAM                 59    HOMBRE    
824     ACTIVO     300214     HERNANDEZ            COTA                 AXEL                 61    HOMBRE    
825     ACTIVO     324488     LOPEZ                PEREZ                ALEJANDRA            18    MUJER     
826     ACTIVO     318726     COTA                 BENITEZ              TERESA               61    MUJER     
827     ACTIVO     317768     ALVAREZ              ESPINOZA             ALBERTO              32    HOMBRE    
828     ACTIVO     324805     FERNANDEZ            GARCIA               DANIEL               25    HOMBRE    
829     ACTIVO     306898     VERA                 ANDRADE              ALEXIA               46    MUJER     
830     ACTIVO     323420     FLORES               MEJIA                JULIETA              64    MUJER     
831     ACTIVO     329201     RUIZ                 ROJAS                HUGO                 56    HOMBRE    
832     ACTIVO     321648     CONTRERAS            QUISPE               IVAN                 42    HOMBRE    
833     ACTIVO     307714     DUARTE               SANCHEZ              ESMERALDA            37    MUJER     
834     ACTIVO     316192     CASTRO               CASTILLO             JOHAN                68    HOMBRE    
835     ACTIVO     330195     DEL TORO             RUIZ                 FERNANDA             29    MUJER     
836     ACTIVO     304508     DE LA FUENTE         DIAZ                 JOHAN                43    HOMBRE    
837     ACTIVO     318394     FERNANDEZ            DE LA FUENTE         GINEBRA              51    MUJER     
838     ACTIVO     302152     CONTRERAS            ALVAREZ              GAEL                 50    HOMBRE    
839     ACTIVO     323571     JUAREZ               MORA                 FERNANDA             37    MUJER     
840     ACTIVO     332529     JUAREZ               PEREZ                GAEL                 35    HOMBRE    
841     ACTIVO     308542     DEL TORO             MARTINEZ             MARTINA              49    MUJER     
